Country Name,Country Code,Series Name,Series Code,2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Argentina,ARG,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,63.4412,63.567,63.41,63.253,63.096,62.939,62.782,62.5654,62.3488,..
Argentina,ARG,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,6.99873377022519,5.7817442068501,6.05291843670451,6.71270351428559,5.1566859021408,6.26456582010254,5.23162237725058,4.53787889681146,5.11101651115706,5.93240449413718
Argentina,ARG,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,..,12.9075342465753,..,..,..,..,12.9075342465753,..,..,..
Argentina,ARG,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,97.1,98.2,97,99.6,99.6,98.4,93.9,..,..,..
Argentina,ARG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,4.29601548562594,4.277881788849,4.35988634439761,4.21636063230176,4.31443352245988,4.22753944174089,4.0894715157252,3.9872341980589,..,..
Argentina,ARG,"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,..,..,72.4,..,..,..,..,..,..,..
Argentina,ARG,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,26.4659610716203,30.6012215884466,33.1873915714789,34.4321395694616,40.4276279370297,37.9322482578709,38.8683983871173,..,..,..
Argentina,ARG,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,2929.07502855568,3000.60352326565,2967.37655805218,3074.70207056563,..,..,..,..,..,..
Argentina,ARG,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,1952.05105293095,1936.80353979442,1967.02167752077,2029.92282543737,..,..,..,..,..,..
Argentina,ARG,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,18.4492091453155,16.2378594620246,14.6171733884386,14.4054785893756,10.7056520504538,12.5270951690009,11.3202833596733,14.4366857499034,17.6959440658721,16.5918166322906
Argentina,ARG,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,142884643038.3,139877660191.7,150225029637.6,153793761987.6,177184603465.6,181638508190.7,225925335186.1,277827278079.2,281723792002.3,253760056780.7
Argentina,ARG,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.338,2.33,2.322,2.312,2.301,2.288,2.275,2.261,2.247,..
Argentina,ARG,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,10839930944.6815,15323933916.8241,9821661858.15874,5065335541.96486,11758994011.286,3260164341.77393,11516861462.2845,11716769818.7543,6663062111.95629,4019052252.68254
Argentina,ARG,Forest area (sq. km),AG.LND.FRST.K2,299906,297672,295438,293204,290970,290100,288990,287910,286810,285730
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,530163281574.658,545982375701.128,552025140252.246,526319673731.638,594749285413.212,557531376217.967,643628665302.155,524819742918.669,451932356085.842,389288056265.325
Argentina,ARG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.00395169280579,-1.0264204544321,2.40532378079436,-2.51261532081394,2.73115982828944,-2.08032784377811,2.81850297775918,-2.61739646282038,-2.0259342366392,-9.89526896368687
Argentina,ARG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,10710,11870,12840,12330,12590,12220,13140,12430,11250,9070
Argentina,ARG,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,18770,19150,19650,19250,19730,19860,23000,22460,22090,20230
Argentina,ARG,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,442106779404.792,495259909345.501,541952763581.473,525940080584.246,543177384733.807,532580733314.78,578844320451.329,553257227152.829,505637132886.696,411594713703.451
Argentina,ARG,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,774596879587.266,799048894124.435,829354154809.18,821363404158.217,850782383912.085,865853713240.316,1012884046242.69,999564421021.798,992632499536.336,917817429055.067
Argentina,ARG,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,18.39845891735,16.5019865298875,17.3057789012596,17.2628810064651,17.0707048841583,17.6632278606203,18.2125671747754,16.6138850156371,15.0577660120381,14.0197297332795
Argentina,ARG,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,7.32119024417288,6.63636489085008,7.45807797289159,7.06113029520291,9.22569177196946,8.98239135830129,9.20541926349789,5.40298404053184,5.21279068012527,6.90388918778241
Argentina,ARG,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,95,94,94,95,89,90,89,94,94,..
Argentina,ARG,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,16.7569458546489,14.2886829096862,14.7167556136651,14.0013150558519,11.7805740385254,13.5667926798789,13.9693177780045,16.3258502050892,14.518503119375,13.5563249239753
Argentina,ARG,Income share held by lowest 20%,SI.DST.FRST.20,4.8,5,5,5.1,..,4.9,5.1,5,4.7,..
Argentina,ARG,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,25.2126976058843,24.4290570649122,24.0058814423072,24.2773944936602,23.153056135905,22.0541072112108,21.782123219335,23.7195923321304,24.052388220108,23.3112183791703
Argentina,ARG,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,23.7034721839593,22.3148806733049,23.9487984162746,40.2829716315506,26.5799916024707,41.1193799882279,26.0063792819079,42.0336689575031,50.9214987087306,39.8912174304965
Argentina,ARG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.439,75.598,75.756,75.913,76.068,76.221,76.372,76.52,76.667,..
Argentina,ARG,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,29.8719291780486,27.0990432264413,27.2460417167365,25.4864119079835,19.6703052646326,20.4045915355847,19.5114056862345,24.2488972103555,25.2781192719693,24.9784185348152
Argentina,ARG,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,0.764287094036749,0.784824721019786,0.837736430159436,0.878100919364039,0.850128583186764,0.813140077928875,0.856137916373543,0.745498854953045,0.706186670516138,0.761486737293151
Argentina,ARG,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,146.9554555,154.059023,159.6394613,143.6158316,143.566834,146.4538276,140.8771235,132.0931513,125.842106,121.1703997
Argentina,ARG,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,13.9,13.3,12.7,12.1,11.5,10.9,10.3,9.7,9.1,8.6
Argentina,ARG,Net barter terms of trade index (2000 = 100),TT.PRI.MRCH.XD.WD,160.564925,167.1272495,156.4980784,153.2871405,146.3443414,155.244929,150.7457768,152.5529498,151.2264533,152.1617937
Argentina,ARG,Net migration,SM.POP.NETM,..,30000,..,..,..,..,24000,..,..,..
Argentina,ARG,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,97050003.0517578,177759994.506836,34729999.5422363,48790000.9155273,-18870000.8392334,2619999.88555908,-1169999.95708466,73110000.6103516,18250000,..
Argentina,ARG,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,697379575.129916,577532962.100773,535004409.367289,505346891.730357,494433532.139966,391579047.663514,479937459.808431,522441503.008565,541741886.729882,630973885.292389
Argentina,ARG,Population density (people per sq. km of land area),EN.POP.DNST,15.0771515955406,15.2495426957383,15.421160233713,15.5916453818299,15.7606327351655,15.9281350828921,16.0941907925267,16.2585100979651,16.4208266190179,16.580892611147
Argentina,ARG,Population growth (annual %),SP.POP.GROW,1.15305928006386,1.13690569378967,1.11910919999772,1.09946109101836,1.07800134449604,1.05718157762752,1.03713389686514,1.01580834908002,0.993397493293046,0.970053991438048
Argentina,ARG,"Population, total",SP.POP.TOTL,41261490,41733271,42202935,42669500,43131966,43590368,44044811,44494502,44938712,45376763
Argentina,ARG,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,1.1,1.2,1,0.9,..,1.1,0.9,1.4,1.5,..
Argentina,ARG,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,..,30.3,25.7,32,35.5,42
Argentina,ARG,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Argentina,ARG,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,..,..,..,..,..,..,..,..,1.7,..
Argentina,ARG,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,103.887710571289,103.352249145508,101.645011901855,103.106437683105,102.973739624023,103.893569946289,99.962760925293,98.7062530517578,98.5472412109375,..
Argentina,ARG,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,20.196408074281,21.182234604867,21.5652829643596,22.3322943705014,22.1490803040164,21.2567013071388,19.3371239744582,17.7024483876111,18.5267736751921,..
Argentina,ARG,"School enrollment, primary (% gross)",SE.PRM.ENRR,115.614730834961,114.227172851563,112.011947631836,111.459671020508,111.303413391113,110.739181518555,109.74146270752,109.659172058105,109.516296386719,..
Argentina,ARG,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,1.04019999504089,1.03461003303528,1.03136003017426,1.03122997283936,1.02838003635406,1.02081000804901,1.01962995529175,1.02131998538971,1.02056002616882,..
Argentina,ARG,"School enrollment, secondary (% gross)",SE.SEC.ENRR,101.535003662109,103.47647857666,105.041412353516,106.03556060791,106.946472167969,108.462333679199,108.733596801758,107.647277832031,108.230842590332,..
Argentina,ARG,Statistical Capacity Score (Overall Average) (scale 0 - 100),IQ.SCI.OVRL,85.5555555555555,85.5555555555555,76.6666666666667,83.3333333333333,95.5555666666667,88.8889,85.5555666666667,81.1111,80,78.8889
Argentina,ARG,Surface area (sq. km),AG.SRF.TOTL.K2,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,..,..
Argentina,ARG,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,12.6636277012315,12.9528415127413,12.4529027558077,12.6109666067191,12.3365069418291,12.0972836411962,10.939623860491,9.99239008384335,10.4759215719336,..
Argentina,ARG,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,..,..,..,..,..,7.52859334896618,7.40512875012761,7.40512875012761,..,..
Argentina,ARG,Time required to start a business (days),IC.REG.DURS,24.5,24.5,24.5,24.5,24.5,24.5,24.5,11,11.5,..
Argentina,ARG,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,15.6550627866212,14.0601320892901,17.144794973003,20.1697253607257,24.733642858859,34.9283398192354,51.7302547597257,51.5485855961066,50.8588557905061,41.086628253414
Argentina,ARG,Urban population growth (annual %),SP.URB.GROW,1.30814131603172,1.28077370283392,1.25948243003778,1.2396386789085,1.21579706300955,1.19260291906809,1.17019595911431,1.14760215897919,1.12501972603644,1.10041505272326
Australia,AUS,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,13.2616,12.302,12.1846,12.0672,11.9498,11.8324,11.715,11.3258,10.9366,..
Australia,AUS,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,2.29247802028073,2.26809636459164,2.28571763293922,2.22094606810034,2.37609867379823,2.40423129264832,2.70247380513086,2.45780397255264,2.11686400565607,2.00609228488954
Australia,AUS,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,..,3.13387533876016,..,..,..,..,3.24085365853659,..,..,..
Australia,AUS,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,99.1,99.2,99.3,99.7,99.7,97,96.7,..,..,..
